DOI,gemini,openai,common,priority,passfail
10.1684/sec.2012.0356,RE RF RA,RE,RE RA RF,5,Unknown
10.1111/jbi.12489,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.enpol.2010.01.026,XO,XC XV XN XA,Disagree,1,Failed
10.1016/j.fcr.2011.05.024,XV XN,XC XV XN,XN XV,0,NA
10.1016/S0140-6736(19)31333-9,XC XO,XC XN,XC,0,NA
10.1080/15567249.2021.1999346,XC,XC XV XN,XC,0,NA
10.1007/s40145-021-0540-8,XC XN,XC XV XN,XN XC,0,NA
10.3390/su12198015,XA,XV XN XA,XA,0,NA
10.3390/land10070677,XN,XC XV XN,XN,0,NA
10.1890/06-1842.1,XV XN,XC XN,XN,0,NA
10.1007/s11367-016-1229-z,XN,XN,XN,0,NA
10.3390/en14061539,XV XN,XN,XN,0,NA
10.1117/12.2664929,XV XN,XC XV XN,XN XV,0,NA
10.1007/s11027-007-9118-1,XN,XN,XN,0,NA
10.1002/2017JB014845,XN,Ambiguous,Ambiguous,2,Unknown
10.1016/B978-0-12-409548-9.12457-1,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/ece3.6409,XN,XC XN,XN,0,NA
10.1007/978-94-007-1623-0_22,XN,XN,XN,0,NA
10.3389/ffgc.2022.929281,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.eneco.2014.01.006,RE RF,RE RF,RE RF,5,Failed
10.1088/2631-8695/acecdb,XC XV XN,XC XN,XN XC,0,NA
10.1111/gcb.15620,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jclepro.2021.129080,RE RF,XV XN,RE RF,8,Passed
10.1007/s10668-023-04311-9,RE,XC,RE,3,Failed
10.3389/ffgc.2022.733967,XN,XC XV XN,XN,0,NA
10.2134/agronj2017.09.0510,XV XN,XV XN,XN XV,0,NA
10.1007/978-0-387-75865-7_11,XC XV XN XA,XV XN,XN XV,0,NA
10.5194/cp-12-871-2016,XC XV XN,XC XN,XN XC,0,NA
10.1017/CBO9781139177788.021,RF RA,XN,RA RF,8,Passed
10.5194/acp-19-2671-2019,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/bg-15-2481-2018,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.rser.2017.08.017,XN,XV XN,XN,0,NA
10.1177/0975425319863931,XN,XN,XN,0,NA
10.1016/j.jclepro.2017.03.206,XN,XC XN,XN,0,NA
10.1046/j.1360-0443.2000.9544912.x,XC,XC XN,XC,0,NA
10.3389/fgene.2022.886494,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/j.1467-7717.2012.01284.x,XC XN XO,XC XN,XN XC,0,NA
10.12133/j.smartag.2020.2.3.202007-SA006,XC XV XN,XC XN,XN XC,0,NA
10.1002/ep.13247,XC XN,XC XN,XN XC,0,NA
10.1007/978-3-030-01599-2_7,XN,XC XV XN,XN,0,NA
10.1111/1365-2656.13394,XV XN,XC XV XN,XN XV,0,NA
10.3390/su14031467,XO,XV XN,Disagree,1,Failed
10.1016/j.agrformet.2006.10.006,XN,XN,XN,0,NA
10.3389/ffgc.2024.1283956,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/f11121311,XC,XC XN,XC,0,NA
10.56578/of100102,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jclepro.2022.131023,RE RF,RE RF RA,RE RA RF,5,Failed
10.1088/1748-9326/abd352,XC XV XN,XC XV XN,XN XC XV,0,NA
10.14306/RENHYD.25.2.1166,XC XN,XC XN,XN XC,0,NA
10.3390/en18010100,XV XN,XC XN,XN,0,NA
10.3390/en11102668,XC,XC XN,XC,0,NA
10.1002/ecs2.3636,XV XN,XV XN,XN XV,0,NA
10.1016/j.gecco.2022.e02215,XC XV XN,XV XN,XN XV,0,NA
10.1016/j.eneco.2019.01.026,XC,XC XN,XC,0,NA
10.1007/s00468-014-0994-1,XV XN,XC XN,XN,0,NA
10.1016/j.jenvman.2019.02.064,XO,XV XN,Disagree,6,Passed
10.1017/S0950268811001919,XV XN,XV XN,XN XV,0,NA
10.1016/j.jhazmat.2024.135330,XC XN,XC XV XN,XN XC,0,NA
10.1177/0263775818798030,XO,XC XV XN,Disagree,1,Failed
10.1016/j.ecss.2012.04.026,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.apenergy.2019.03.057,XC,XC XN,XC,0,NA
10.13198/j.issn.1001-6929.2019.05.16,XN XO,XC XV XN,XN,0,NA
10.1016/S0167-8809(00)00297-8,XV XN,XC XV XN,XN XV,0,NA
10.2991/jracr.k.200725.001,XN,XV XN,XN,0,NA
10.1071/RJ20059,XN XO,XC XN,XN,0,NA
10.1007/s10584-013-0975-1,XO,XC XV XN,Disagree,1,Failed
10.1016/j.apenergy.2017.10.040,RE RF,XN,RE RF,3,Failed
10.1088/1742-6596/2812/1/012009,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1051/e3sconf/202126101018,XC,XC XV XN,XC,0,NA
10.1016/j.egyr.2024.06.024,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.agrformet.2021.108568,XC XV XN,XC XN,XN XC,0,NA
10.1088/2515-7620/acfb61,XC XN,XN,XN,0,NA
10.1080/00221546.2023.2171207,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s10668-023-04083-2,XC,XV XN,Disagree,1,Failed
10.2136/2012.urban-rural.c11,XV XN,XV XN,XN XV,0,NA
10.1016/j.jmapro.2020.11.040,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.conbuildmat.2022.127784,XC XV XN,XC XN,XN XC,0,NA
10.4028/www.scientific.net/AMR.779-780.343,XC XN,XC XN,XN XC,0,NA
10.2495/WP140241,XC XV XN,XC XN,XN XC,0,NA
10.7717/peerj.14286,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/en16104145,XC XV XN,XC XV XN,XN XC XV,0,NA
10.2307/2265868,XV XN XO,XV XN,XN XV,0,NA
10.3866/PKU.WHXB202305053,XC XN,XC XV XN,XN XC,0,NA
10.1016/0168-1923(94)90099-X,XV XN,XV XN,XN XV,0,NA
10.1111/geb.12608,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.epsr.2023.109409,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/1365-2435.14711,XV XN,XC XV XN,XN XV,0,NA
10.1007/978-3-319-29643-2_8,XV XN,XN,XN,0,NA
10.3389/frsc.2022.793288,XN,XC XV XN,XN,0,NA
10.3390/rs12050840,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.ocecoaman.2019.01.010,RA,XN,RA,8,Passed
10.1093/oxfclm/kgae001,XV XN,XV XN,XN XV,0,NA
10.1007/s00704-021-03757-z,XO,XC XV XN,Disagree,6,Passed
10.1016/j.pce.2015.07.010,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1098/rsif.2021.0250,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.conbuildmat.2016.10.100,Ambiguous,XC XV XN,Ambiguous,2,Failed
10.1038/s41893-018-0165-2,Ambiguous,XN XO,Ambiguous,2,Unknown
10.1175/WCAS-D-16-0017.1,XV XN,XC XV XN,XN XV,0,NA
10.1002/2017GL074319,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.soilbio.2019.107629,XV XN,XV XN,XN XV,0,NA
10.1002/jqs.2828,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/gcb.17550,XC XV XN,XC XN,XN XC,0,NA
10.1029/2019JG005183,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1088/1748-9326/aaa494,XV XN,XC XV XN,XN XV,0,NA
10.1080/17480272.2024.2305668,XV XN,XC XN,XN,0,NA
10.3390/rs10040556,XC,XC XV XN,XC,0,NA
10.1016/j.nucengdes.2023.112594,XC,XC XV XN,XC,0,NA
10.1016/j.eja.2009.11.002,XC XV,XC XV XN,XC XV,0,NA
10.3390/rs13040688,XV XN,XV XN,XN XV,0,NA
10.3959/1536-1098-69.2.49,XV XN,XC XV XN,XN XV,0,NA
10.24181/tarekoder.697179,RE,XN,RE,8,Passed
10.1016/j.scienta.2010.02.017,XO,XC XV XN,Disagree,1,Failed
10.1038/s41598-023-28489-0,XV XN,XN,XN,0,NA
10.1007/s00148-022-00923-z,XO,XC XV XN,Disagree,6,Passed
10.1128/JVI.75.2.1013-1030.2001,XC,XC XV XN,XC,0,NA
10.1016/j.seta.2021.101364,XN,XV XN,XN,0,NA
10.1175/EI-D-20-0025.1,XO,XC XV XN,Disagree,6,Passed
10.3390/w10020235,XV XN,XN,XN,0,NA
10.1002/joc.8734,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.scitotenv.2023.165619,XV XN XO,XC XV XN,XN XV,0,NA
10.1007/s00468-022-02314-z,XV XN,XC XV XN,XN XV,0,NA
10.4324/9781315149776,XN,XV XN,XN,0,NA
10.1111/gcb.16345,XV XN,XC XV XN,XN XV,0,NA
10.1111/gcb.14006,XV XN,XC XV XN,XN XV,0,NA
10.1109/CANDARW.2019.00057,XC,XC XV XN,XC,0,NA
10.1016/j.renene.2022.06.074,XC,XC XV XN,XC,0,NA
10.1007/s00484-020-01971-4,XN,XV XN,XN,0,NA
10.1186/s12936-021-03718-x,XN,XN,XN,0,NA
10.1016/j.heliyon.2024.e32098,XN,XV XN,XN,0,NA
10.1007/s10933-022-00261-w,XV XN,XC XV XN,XN XV,0,NA
10.1029/2024GL111737,XO,XC XV XN,Disagree,6,Passed
10.1016/j.agsy.2022.103527,XV XN,XN,XN,0,NA
10.1890/ES13-00399.1,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.cej.2023.143743,XC XN,XC,XC,0,NA
10.1890/15-1197.1,XN,XV XN,XN,0,NA
10.1016/j.scitotenv.2024.171850,XC XV XN,XV XN,XN XV,0,NA
10.1016/B978-0-444-63524-2.00031-2,XO,XC XV XN,Disagree,1,Unknown
10.1016/j.rama.2024.07.008,XN XO,XC XV XN,XN,0,NA
10.3390/su14074255,XO,XV XN,Disagree,1,Unknown
10.1177/0734242X221149327,XN,XN,XN,0,NA
10.1080/17430437.2021.1932822,XC,XC XV XN,XC,0,NA
10.1002/agg2.20244,XC XN,XC XV XN,XN XC,0,NA
10.1111/gcb.15933,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1186/s12862-019-1487-z,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11430-013-4799-7,XV XN,XN,XN,0,NA
10.1007/s11769-022-1270-8,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.compgeo.2022.105045,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.gr.2020.09.008,XC XV XN XO,XC XV XN,XN XC XV,0,NA
10.1016/j.margeo.2017.09.007,XV XN,XV XN,XN XV,0,NA
10.1371/journal.pone.0158913,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.atmosenv.2018.01.029,XO,XN,Disagree,1,Failed
10.1111/j.1365-2486.2011.02424.x,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.enconman.2024.118307,XV XN,XC XV XN,XN XV,0,NA
10.1002/9781119776086.ch9,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.apenergy.2010.02.003,XC XN,XN,XN,0,NA
10.5194/esd-12-173-2021,XO,XC XV XN,Disagree,1,Unknown
10.1139/cjfr-2016-0113,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1177/04866134211032396,RE RF RA,XN,RE RA RF,3,Unknown
10.1016/j.agrformet.2024.110302,XC XV XN,XC XN,XN XC,0,NA
10.1146/annurev-earth-071719-055228,RE RF,XV XN,RE RF,8,Passed
10.1016/j.energy.2020.118053,XC,XC XV XN,XC,0,NA
10.1111/gcb.12322,XO,XC XV XN,Disagree,6,Passed
10.1007/978-3-030-45106-6_135,XV XN XO,XN,XN,0,NA
10.1016/j.jag.2023.103351,XV XN,XN,XN,0,NA
10.3390/app10082667,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.enpol.2016.01.010,RE,XC XV XN,RE,3,Failed
10.1007/s10021-015-9861-1,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jafr.2024.100995,RA,XN,RA,8,Passed
10.1046/j.1365-3040.2003.01007.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/esd-9-1107-2018,XV XN,XN,XN,0,NA
10.3389/fmars.2021.755699,XV XN,XV XN,XN XV,0,NA
10.3354/meps11854,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1108/IJSE-06-2023-0479,RF RA,XC XN,RA RF,3,Failed
10.1016/j.eneco.2020.104865,RE RF,XV XN,RE RF,3,Failed
10.1016/j.rser.2020.110552,XO,XV XN,Disagree,1,Failed
10.1007/s11356-016-8346-x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1088/1748-9326/8/3/034024,XO,XN,Disagree,1,Failed
10.2465/jmps.170406a,XC XN,XC XV XN,XN XC,0,NA
10.1890/09-2059.1,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.rser.2017.02.037,XO,XC XV XN,Disagree,1,Failed
10.1007/s11270-023-06434-1,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3389/fpls.2022.1023571,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1088/1748-9326/9/10/104021,XC XN,XC XN,XN XC,0,NA
10.1016/j.rser.2015.11.056,XN,XC XN,XN,0,NA
10.3133/cir1471,XV XN,XC XV XN,XN XV,0,NA
10.1109/ICTEM56862.2023.10084297,XN XO,RE,RE,3,Failed
10.1080/10429247.2020.1758539,XO,XN XA,Disagree,1,Failed
10.15244/pjoes/76889,XC XV XN,XC XN,XN XC,0,NA
10.1073/pnas.0609584104,RE,XN,RE,8,Passed
10.1016/j.geosus.2021.07.001,XV XN,XC XV XN,XN XV,0,NA
10.3390/f15040592,RE RF,RE,RE RF,10,Passed
10.1016/j.snb.2020.128813,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11356-019-05590-4,XC XN,XC XN,XN XC,0,NA
10.3390/s151027283,XC,XC XV XN,XC,0,NA
10.1016/j.icheatmasstransfer.2022.106386,XO,XV XN,Disagree,1,Failed
10.1016/j.scitotenv.2018.12.104,RE,RE,RE,5,Failed
10.1016/j.agee.2014.12.016,XV XN,XC XV XN,XN XV,0,NA
10.1002/ecy.1625,XV XN,XN,XN,0,NA
10.1016/j.agrformet.2018.06.006,XV XN,XV XN,XN XV,0,NA
10.3844/ajassp.2016.408.419,XV XN,XN,XN,0,NA
10.1007/s41207-024-00577-1,XC XN,XC XV XN,XN XC,0,NA
10.2147/DDDT.S336285,XC,XC XN,XC,0,NA
10.1016/j.aei.2023.102158,XC XO,XC XV XN,XC,0,NA
10.1002/9781118394380.ch47,XO,XC XV XN,Disagree,1,Unknown
10.1111/gcb.17308,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.mimet.2024.107042,XC,XC XV XN,XC,0,NA
10.1016/j.jallcom.2021.160410,XC XV XN,XC XV XN,XN XC XV,0,NA
10.17559/TV-20230220000363,XC XV XN XO,XC XV XN,XN XC XV,0,NA
10.1016/j.energy.2024.130502,XC XN,XN,XN,0,NA
10.1007/s00300-013-1367-8,XC XN,XC XN,XN XC,0,NA
10.1371/journal.pone.0267215,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.enconman.2023.118030,XN,XC XN,XN,0,NA
10.1093/FORESTRY/CPAA011,XV XN,XC XV XN,XN XV,0,NA
10.3390/w15132399,XN,XC XN,XN,0,NA
10.23967/dbmc.2020.012,XV XN,XV XN,XN XV,0,NA
10.1111/cobi.12887,XO,XC XN,Disagree,1,Unknown
10.1038/srep25061,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.envexpbot.2024.106038,XN,XC XN,XN,0,NA
10.1016/j.cj.2024.09.018,XN,XV XN,XN,0,NA
10.1016/j.jclepro.2018.11.223,RE RF,XC XV XN,RE RF,3,Failed
10.1016/j.agrformet.2011.06.013,XV XN,XV XN,XN XV,0,NA
10.1016/j.dsr.2020.103363,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/j.1365-2486.2009.02157.x,RA,XN,RA,8,Passed
10.1007/s40831-021-00464-x,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.ecss.2016.04.011,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.palaeo.2021.110574,XC XV XN XA,XC XV XN,XN XC XV,0,NA
10.1016/j.eap.2024.04.015,XN,RE,RE,3,Failed
10.1016/j.crm.2020.100260,XO,XN XA,Disagree,1,Failed
10.1016/j.optmat.2020.110377,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s00704-007-0336-y,XC,XC XV XN,XC,0,NA
10.1016/j.jenvman.2015.05.034,XO,XC XV XN,Disagree,1,Failed
10.1016/j.foreco.2020.118441,XC XV XN,XC XN,XN XC,0,NA
10.15866/ireaco.v16i1.23181,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1257/pol.20130397,XC XN,XN,XN,0,NA
10.3390/polym15061521,XC XN,XC XV XN,XN XC,0,NA
10.3389/fmars.2022.935549,XO,XC XV XN,Disagree,1,Failed
10.1016/j.ijft.2024.100988,Ambiguous,XC XN,Ambiguous,2,Failed
10.3390/ma15041408,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/ecs2.4845,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.surfcoat.2020.126352,XC,XC XV XN,XC,0,NA
10.1007/s11160-015-9382-1,XC XV XN,XV XN,XN XV,0,NA
10.1007/s11356-021-15129-1,RE,XC XN,RE,3,Failed
10.1016/S0167-8809(03)00125-7,XV XN,XV XN,XN XV,0,NA
10.1016/j.pce.2021.103017,XN,XN,XN,0,NA
10.1016/j.enpol.2020.111350,XO,XN,Disagree,1,Failed
10.1002/ecy.1576,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.scitotenv.2018.11.409,RA,RE RA,RE RA,10,Passed
10.13031/trans.11883,XV XN,XC XV XN,XN XV,0,NA
10.1007/s11270-017-3679-8,XC XN,XC XN,XN XC,0,NA
10.1016/j.ecolecon.2019.106501,XN,XN,XN,0,NA
10.1111/faf.12502,XN,XC XV XN,XN,0,NA
10.5194/cp-9-525-2013,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/agronomy8040034,XN,XN,XN,0,NA
10.1306/eg.06231010008,XO,XC XV XN,Disagree,1,Failed
10.1007/s11442-012-0987-1,RE,RE RF RA,RE RA RF,5,Failed
10.1016/j.rser.2012.04.006,XO,XC XV XN,Disagree,1,Failed
10.1163/24686042-12340123,XO,XC XV XN,Disagree,1,Failed
10.1063/5.0186528,XC XO,XC XV XN,XC,0,NA
10.3750/AIEP/02571,XC XV XN,XC XN,XN XC,0,NA
10.1007/s11356-023-29308-9,XC XN XO,RE,RE,3,Failed
10.1029/2022MS003164,XC XN,XC XV XN,XN XC,0,NA
10.1109/ICNSURV.2017.8011935,XC,XC XV XN,XC,0,NA
10.1007/978-3-030-54983-1_4,XC XV XN,XC XN,XN XC,0,NA
10.2307/2641227,XO,XN,Disagree,6,Passed
10.1016/j.igd.2024.100169,RE RF RA,XV XN,RE RA RF,8,Passed
10.1038/s41597-022-01196-7,XO,XV XN,Disagree,6,Passed
10.1016/j.foreco.2017.07.003,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.oceaneng.2022.110605,XV XN,XN,XN,0,NA
10.1016/j.jclepro.2015.10.063,XV XN,XC XN,XN,0,NA
10.1016/j.jobe.2024.109272,XC XN,XC XN,XN XC,0,NA
10.1002/2017GH000094,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/978-981-19-9159-2_9,XN,XC XV XN,XN,0,NA
10.1016/j.buildenv.2016.01.015,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/rs16091489,XV XN,XV XN,XN XV,0,NA
10.1016/j.ympev.2022.107440,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.scitotenv.2021.147247,XV XN,XV XN,XN XV,0,NA
10.1007/s11258-011-9959-2,XV XN,XC XV XN,XN XV,0,NA
10.1093/treephys/tpab157,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11947-018-2215-1,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jmrt.2024.09.028,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.quascirev.2021.106902,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.egyr.2022.01.064,XN,XN,XN,0,NA
10.1007/s10584-023-03487-3,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.rsma.2024.103501,XC,XC XN,XC,0,NA
10.3390/rs12050786,XN,XC XV XN,XN,0,NA
10.1353/anq.2024.a929492,XN XO,XC XV XN,XN,0,NA
10.4324/9780203556160,RA,XN,RA,3,Unknown
10.1016/j.foreco.2016.04.055,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s00442-012-2297-9,XC XN,XC XN,XN XC,0,NA
10.1016/j.enpol.2013.06.004,RE,RE,RE,5,Failed
10.1016/j.ecolecon.2016.08.020,RE RF RA,RE,RE RA RF,5,Failed
10.1016/S0277-3791(00)00087-1,XC,XC XV XN,XC,0,NA
10.1016/j.pocean.2016.06.006,XV XN,XV XN,XN XV,0,NA
10.1139/x92-228,XV XN,XV XN,XN XV,0,NA
10.5194/essd-16-4971-2024,XC XV XO,XC XV XN,XC XV,0,NA
10.5846/stxb201401210161,XN XO,XC XV XN,XN,0,NA
10.3390/rs14143254,XV XN,XC XN,XN,0,NA
10.1016/j.scitotenv.2021.149492,XN,XV XN,XN,0,NA
10.1109/MELECON53508.2022.9843088,XO,XC XN,Disagree,6,Passed
10.1109/LGRS.2013.2257158,XC XN,XV XN,XN,0,NA
10.3354/meps10245,XC XV XN,XC XN,XN XC,0,NA
10.1038/nature12915,XO,XV XN,Disagree,6,Passed
10.1117/12.681182,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.futures.2016.04.007,XO,XN XA,Disagree,1,Failed
10.1002/ieam.4800,XC,XC XN,XC,0,NA
10.1016/j.pedsph.2022.06.035,XV XN,XV XN XA,XN XV,0,NA
10.3390/su13095054,XC,XV XN,Disagree,1,Failed
10.7163/PrzG.2016.4.4,XC,XC XV XN,XC,0,NA
10.1007/978-3-662-48008-3_4,XV XN,XV XN,XN XV,0,NA
10.1017/S0376892910000895,XC XO,XC XN,XC,0,NA
10.1016/j.scitotenv.2022.161246,XV XN,XC XV XN,XN XV,0,NA
10.3389/fmars.2024.1473828,RE RF,RE RA,RE RA RF,5,Failed
10.3390/rs14122729,XN,XN,XN,0,NA
10.1007/s11270-024-07125-1,XV XN,XN,XN,0,NA
10.1038/s41598-021-94350-x,XV XN,XV XN,XN XV,0,NA
10.5593/sgem2017H/43/S19.052,XN,XN,XN,0,NA
10.1016/j.catena.2019.104182,XV XN,XC XV XN,XN XV,0,NA
10.1175/WCAS-D-21-0144.1,XV XN,XC XV XN,XN XV,0,NA
10.1093/icb/icaa121,XC XV XN,XC XN,XN XC,0,NA
10.1007/s11069-022-05458-w,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.enpol.2022.113162,XC,XC XN,XC,0,NA
10.1201/b22244,XA,XV XN XA,XA,0,NA
10.1016/j.worlddev.2023.106387,XC XV XN,XC XN,XN XC,0,NA
10.1002/lno.11666,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.apenergy.2023.122504,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.enpol.2016.07.008,XN,XC XN,XN,0,NA
10.3390/su13020617,XC XN,XN,XN,0,NA
10.1016/j.jenvman.2023.117596,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1038/s41598-025-85182-0,RE,XV XN,RE,3,Failed
10.1016/j.geoderma.2007.10.013,XN,XV XN,XN,0,NA
10.1002/2014JC009982,XC XV XN,XC XV XN,XN XC XV,0,NA
10.32604/phyton.2022.022607,XV XN,XC XN,XN,0,NA
10.1002/eap.2940,XC XV XN,XC XN,XN XC,0,NA
10.1111/1752-1688.12391,XN,XN XA,XN,0,NA
10.1111/faf.12834,XV XN,XV XN,XN XV,0,NA
10.1111/j.1365-2745.2007.01281.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.ocecoaman.2018.08.029,XC XN,XC XN,XN XC,0,NA
10.1007/s40192-021-00199-3,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.scitotenv.2019.06.266,XV XN,XN,XN,0,NA
10.1016/j.scitotenv.2020.140453,XV XN,XV XN,XN XV,0,NA
10.1086/692842,XN,XN,XN,0,NA
10.1029/2024EF004742,Ambiguous,XV XN,Ambiguous,7,Passed
10.1016/j.jpowsour.2019.226861,XC XN XO,XC XV XN,XN XC,0,NA
10.1002/adom.202303257,XC XV XN,XC XN,XN XC,0,NA
10.12357/cjea.20240071,XV XN,XN,XN,0,NA
10.1071/EA9950941,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.iref.2024.103452,XN,XN,XN,0,NA
10.18520/cs/v118/i1/103-107,XV XN,XV XN,XN XV,0,NA
10.1016/j.foreco.2011.09.021,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.still.2021.105015,XC XV XN,XC XN,XN XC,0,NA
10.1109/SASG57022.2022.10200686,XC XV XN,XC XN,XN XC,0,NA
10.1002/ecs2.2715,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.rse.2012.01.017,XO,XC XV XN,Disagree,6,Passed
10.1017/CBO9780511494345.007,XO,XC XV XN,Disagree,1,Failed
10.1111/nph.17000,XC XV XN,XC XV XN,XN XC XV,0,NA
10.16418/j.issn.1000-3045.20220303001,XN,XV XN,XN,0,NA
10.3389/fevo.2017.00177,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jenvman.2023.118964,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/essd-16-2773-2024,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1017/S0022050717000675,RE RA,XN,RE RA,8,Passed
10.1371/journal.pone.0018057,XC XN,XC XV XN,XN XC,0,NA
10.1007/978-3-030-32463-6_24,XN,XV XN XA,XN,0,NA
10.1007/s00704-022-04140-2,XN,XC XV XN,XN,0,NA
10.1016/j.agrformet.2016.11.005,XC XN,XC XV XN,XN XC,0,NA
10.3389/fenvs.2022.1037248,XN,XV XN,XN,0,NA
10.1016/j.envpol.2021.116429,XC XV XN,XC XN,XN XC,0,NA
10.3327/jnst.44.257,XC,XC XV XN,XC,0,NA
10.1038/s43247-024-01373-z,RF,XC XV XN,RF,3,Failed
10.1007/s10668-024-04783-3,XN,XC XN,XN,0,NA
10.1016/j.ecolecon.2007.08.010,XC,XN XA,Disagree,1,Failed
10.1016/j.tfp.2024.100518,XN,XC XV XN,XN,0,NA
10.1039/c7ra09530a,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/su71013270,XN,XN,XN,0,NA
10.1007/978-3-030-62501-6_5,XC XN,XC XN,XN XC,0,NA
10.1115/nawtec16-1901,XC XN,XC XN,XN XC,0,NA
10.1371/journal.pone.0096157,XV XN,XV XN,XN XV,0,NA
10.1016/j.jmst.2022.08.039,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1139/f2012-094,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/ijms222111882,XC XV XN,XC XN,XN XC,0,NA
10.3389/fenrg.2024.1374065,Ambiguous,RF,Ambiguous,9,Passed
10.3390/agronomy14112609,XV XN,XV XN,XN XV,0,NA
10.1016/j.jhydrol.2018.01.067,XC XN,XC XV XN,XN XC,0,NA
10.1016/0167-5877(90)90039-K,XC XV XN,Ambiguous,Ambiguous,2,Unknown
10.1016/j.geoforum.2019.07.002,XC XN,XN,XN,0,NA
10.1002/smll.202311268,XC XV XN,XC XV XN,XN XC XV,0,NA
